country,director,genre,imdb_rating,title,year
Республика Корея,Кан Джегю,"драма, боевик, военный",8,,2004
Гонконг,Чэнь Чжихуа,"боевик, комедия",7,,1977
СССР,Андрей Малюков,"Фильм-катастрофа, приключенческий фильм, драма",3,,1981
"США, Чили, Колумбия",Патрисия Ригген,драма,7,,2015
Канада,Дени Вильнёв,"драма, мелодрама",6,,1998
Россия,Александр Муратов,"комедия, фантастика, мелодрама",4.9,,2004
"Мексика, Испания",Ригоберто Кастаньеда,"ужасы, мистика",6,,2006
СССР,Леонид Квинихидзе,"музыкальный фильм, мюзикл, фэнтези",9,,1978
США,Роб Зомби,Фильм ужасов,5,,2016
Россия,Таисия Игуменцева,"комедия, мелодрама",6,,2016
США,Крэйг Мосс,"комедийный, фильм ужасов",2,,2012
США,Дэвид Слейд,фильм о вампирах,7,,2007
Швеция,Андерс Банке,"фильм ужасов, комедия",8,,2006
США,"Питер Хатчингс, [вд]",независимый кинематограф,10,,2018
США,Джордж Галло,"комедия, драма",7.2,,1991
США,"Кевин Коннор, [вд]","библейский фильм, драма",5.5,,1999
США,Джеймс Кэмерон,"эпический фильм, научная фантастика, боевик, приключения, фэнтези",,,2029
Польша,Януш Маевский,"фантастика, драма",6.7,,1964
"США, [, 3, ], 9, 10, Великобритания",Джеймс Кэмерон,"эпический фильм, научная фантастика, приключенческий боевик, [, 1, ], драма",7.9,,2009
Италия,Кармине Галлоне,драма,7,,1916
США,Джонатан Мостоу,триллер,7,,1997
"ЮАР, США, Заир",Джеймс Аллен,детектив,3.6,,1990
Румыния,Серджиу Николаеску,боевик,6.6,,1976
СССР,Витаутас Жалакявичюс,"детектив, драма",6.7,,1974
СССР,"Александр Абрамов, Наум Бирман",Детектив,6.8,,1965
СССР,Михаил Туманишвили,драма,6.7,,1989
Польша,Роман Залуски,комедия,9,,1982
Россия,Константин Буслов,приключения,4.2,,2014
Франция,Анри Вернёй,"драма, комедия, боевик, военный, приключения",6,,1984
Великобритания,Дэвид Макдональд,приключенческий фильм,10,,1951
Китайская Республика,"Чжан Пэйчэн, [кит.]","драма, [, 1, ], приключенческий фильм",6.8,,1976
СССР,Леонид Трауберг,"мелодрама, комедия, военный фильм",7.1,,1942
СССР,Леонид Пчёлкин,драма,6.3,,1979
Франция,Бертран Блие,комедия,9,,2000
"Великобритания, Германия, Ирландия",Конор МакФерсон,"комедия, криминал",5.8,,2003
СССР,Вирве Аруоя,драма,6.2,,1960
США,Майкл Гордон,Фильм нуар,7,,1948
"Великобритания, Дания, Норвегия",Джошуа Оппенхаймер,"документальный, исторический",10,,2012
США,Фред Циннеман,"Фильм нуар, Драма",8,,1948
"Франция, Италия",Жерар Пирес,"криминальный фильм, драма",5,,1975
Россия,Александр Рогожкин,"мелодрама, детективный фильм",5.3,,1993
Финляндия,Эдвин Лайне,"драма, исторический",8,,1970
СССР,Алексей Коренев,эксцентрическая комедия,7,,1987
Германская империя,Макс Складановский,"хроника, короткометражка",6,,1895
СССР,Юрий Степчук,сказка,5.7,,1981
США,Джозеф фон Штернберг,драма,6.4,,1931
США,Дэвид Цукер,"фэнтези, комедия",1,,2008
"США, Венгрия","Эва Гардос, [вд]","биографический фильм, фильм о взрослении, [вд], драма, [, 1, ], 2, […]",7,,2001
США,Юэн Макгрегор,драма,6,,2016
"Франция, Италия",Франсуа Трюффо,трагикомедия,10,,1973
Канада,"Джен Соска, Сильвия Соска","фильм ужасов, триллер",6,,2012
"Великобритания, США",Андреа Арнольд,Роуд-муви,8,,2016
США,Пол Вайц,"комедия, музыка",9,,2006
США,Тони Кэй,"драма, криминал, Инструментальная, электроакустическая",10,,1998
США,Уильям Олсон,"комедия, драма",7,,2008
"США, Великобритания","Гонсало Лопес-Гальего, [вд]",фильм-триллер,7,,2024
США,Тимоти Вудворд мл.,"драма, криминальный фильм",1,,2016
